Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/subscribe/create,49,48,4,4.0979498571687145,3.3947470001294278,12.521258999186102,44.97959183673469,0.2041789697404589,0.2000120519906536,4,4,4,4,4,4,13,13,13,13,13
POST,/api/v1/user/login,1,0,270.0601260003168,270.0601260003168,270.0601260003168,270.0601260003168,1046.0,0.004166917749805284,0.0,270,270,270,270,270,270,270,270,270,270,270
POST,/api/v1/user/register,1,0,292.0015930012596,292.0015930012596,292.0015930012596,292.0015930012596,1046.0,0.004166917749805284,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/v1/weather/current/kazan?units=metric,43,0,4,4.752593302497232,3.5594570017565275,37.62329699929978,516.0,0.1791774632416272,0.0,4,4,4,4,4,5,38,38,38,38,38
GET,/api/v1/weather/history/kazan,43,0,10,12.9420285816301,9.720682000988745,36.561484999765526,97102.62790697675,0.1791774632416272,0.0,10,10,10,11,18,36,37,37,37,37,37
,Aggregated,137,48,4,11.12211681036729,3.3947470001294278,292.0015930012596,30670.781021897812,0.5708677317233238,0.2000120519906536,4,10,10,10,11,35,38,270,290,290,290
